Constituintes Autorizados,CAS,Especificações,Função,Alegações autorizadas e requisitos para uso da alegação,Requisitos de Rotulagem Complementar e outros,Outras Informações
Acetato de DL-alfa-tocoferol/Acetato de racealfatocoferol/Acetato de DL-alfatocoferila,7695-91-2,"EFSA Journal 2016;14(3):4412

European pharmacopoeia 9.0",Fonte de Vitamina E,"1) Alegação: A vitamina E é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de vitamina E atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de vitamina E. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de vitamina E atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
3) Alegação: Alto conteúdo/Rico em/Alto teor de vitamina E. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de vitamina E corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Acetato de L-lisina,57282-49-2,"European pharmacopoeia 9.0 

 USP-NF",Fonte do aminoácido Lisina,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.",
Acetato de magnésio,142-72-3,,Fonte de Magnésio,"1) Alegação:O magnésio auxilia na formação de ossos e dentes. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O magnésio auxilia no metabolismo energético. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
3) Alegação: O magnésio auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O magnésio auxilia no equilíbrio dos eletrólitos. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação:  O magnésio auxilia no funcionamento muscular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: O magnésio auxilia no funcionamento neuromuscular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: O magnésio auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação: Fonte de magnésio. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
9) Alegação: Alto conteúdo/Rico em/Alto teor de magnésio. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de magnésio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Acetato de retinol/Acetato de retinila,127-47-9,"European pharmacopoeia 9.0 

1511 JP XVII",Fonte de Vitamina A,"1) Alegação: A vitamina A auxilia na visão. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações..
2) Alegação: A vitamina A auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: A vitamina A auxilia no metabolismo do ferro. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: A vitamina A contribui para a manutenção da pele. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: A vitamina A auxilia na manutenção de mucosas.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
6) Alegação: A vitamina A auxilia no processo de diferenciação celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: Fonte de vitamina A. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação: Alto conteúdo/Rico em/Alto teor de vitamina A. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de vitamina A corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações., desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Acetato de zinco,557-34-6,USP-NF,Fonte de Zinco,"1) Alegação: O zinco é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O zinco auxilia na visão. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O zinco auxilia no metabolismo da vitamina A. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
4) Alegação: O zinco contribui para a manutenção do cabelo, da pele e das unhas. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
5) Alegação: O zinco auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
6) Alegação: O zinco auxilia na síntese de proteínas. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: O zinco auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
8) Alegação: O zinco auxilia na manutenção de ossos. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
9) Alegação: O zinco auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
10) Alegação: Fonte de zinco.Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
11) Alegação: Alto conteúdo/Rico em/Alto teor de zinco. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de zinco corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Acetato de zinco diidratado,5970-45-6,"European pharmacopoeia 9.0

USP-NF

FCC 

EFSA Journal 2015;13(4):4058",Fonte de Zinco,"1) Alegação: O zinco é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O zinco auxilia na visão. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O zinco auxilia no metabolismo da vitamina A. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
4) Alegação: O zinco contribui para a manutenção do cabelo, da pele e das unhas. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
5) Alegação: O zinco auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
6) Alegação: O zinco auxilia na síntese de proteínas. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: O zinco auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
8) Alegação: O zinco auxilia na manutenção de ossos. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
9) Alegação: O zinco auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
10) Alegação: Fonte de zinco.Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
11) Alegação: Alto conteúdo/Rico em/Alto teor de zinco. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de zinco corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Acetilcisteína/N-Acetil L-Cisteína,616-91-1,"European pharmacopoeia 9.0 

USP-NF",Fonte do aminoácido L-Cisteína,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.",
Acetiltaurato de magnésio,75350-40-2,"The EFSA Journal (2009) 947, 1-30",Fonte de Magnésio,"1) Alegação:O magnésio auxilia na formação de ossos e dentes. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O magnésio auxilia no metabolismo energético. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
3) Alegação: O magnésio auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O magnésio auxilia no equilíbrio dos eletrólitos. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação:  O magnésio auxilia no funcionamento muscular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: O magnésio auxilia no funcionamento neuromuscular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: O magnésio auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação: Fonte de magnésio. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
9) Alegação: Alto conteúdo/Rico em/Alto teor de magnésio. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de magnésio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Ácido alfa-linolênico n-3 obtido de Chlorella vulgaris,,"Para esse constituinte foram aprovadas as especificações do fabricante: Genesis Co. Pty Ltd, NSW Australia.",Fonte de Ácido alfa-linolênico n-3,Não foi aprovada alegação de propriedade funcional nem de saúde para o ingrediente,,
Ácido ascórbico/Ácido L-ascórbico,50-81-7,"European pharmacopoeia 9.0 

USP-NF

FCC 

Prepared at the 17th JECFA (1973), published in FNP 4 (1978) and in FNP 52 (1992). Metals and arsenic specifications revised at the 61st JECFA (2003). A group ADI ‘not specified’ was established for ascorbic acid and its Ca, K and Na salts at the 25th JECFA (1981).",Fonte de vitamina C,"1) Alegação: A vitamina C auxilia na absorção de ferro dos alimentos. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: A vitamina C é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: A vitamina C auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: A vitamina C auxilia na formação do colágeno. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: A vitamina C auxilia na regeneração da forma reduzida da vitamina E. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: A vitamina C auxilia no metabolismo energético. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: A vitamina C auxilia no metabolismo de proteínas e gorduras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação: Fonte de vitamina C. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina C atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
9) Alegação: Alto conteúdo/Rico em/Alto teor de vitamina C. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de vitamina C corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
"Ácido docosahexaenóico (DHA) e ácido eicosapentaenóico
(EPA) obtido de Lisinato de ômega-3",127964-03-8,"Para esse constituinte foram aprovadas as especificações do fabricante: Evonik Industries. Hanau, Alemanha","Fonte de EPA e DHA obtido de lisinato de ômega 
3",Alegação: O EPA e o DHA contribuem para o normal funcionamento do coração. A alegação é restrita aos suplementos alimentares que forneçam no mínimo 250 mg de EPA e DHA somados na recomendação diária de consumo.,"A advertência “Este produto não deve ser consumido por gestantes, lactantes e crianças.” deve constar na rotulagem do produto.",
"Ácido docosahexaenóico (DHA) e ácido eicosapentaenóico
(EPA) obtido de Lisinato de ômega-3",127964-03-8,"Para este constituinte foram aprovadas as especificações do fabricante: Evonik Rexim S.A.S, França.","Fonte de EPA e DHA obtido de lisinato de ômega 
3",Alegação: O EPA e o DHA contribuem para o normal funcionamento do coração. A alegação é restrita aos suplementos alimentares que forneçam no mínimo 250 mg de EPA e DHA somados na recomendação diária de consumo.,"A advertência “Este produto não deve ser consumido por gestantes, lactantes e crianças.” deve constar na rotulagem do produto.",
Ácido docosahexaenóico (DHA) obtido de óleo de alga Crypthecodinium cohn,,FCC,Fonte de DHA,"1) Alegação: Fonte de Omega 3. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de EPA e DHA atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Os ácidos graxos ômega 3 EPA e DHA auxiliam na redução dos triglicerídeos. Requisitos: A alegação é restrita aos suplementos alimentares que forneçam no mínimo 1.500 mg de EPA e DHA somados na recomendação diária de consumo. Não é permitida a alegação caso o suplemento alimentar possua associação de ingredientes fontes de fitoesterois com ingredientes fontes de ácidos graxos ômega 3.",Não há requisitos adicionais,
Ácido docosahexaenóico (DHA) obtido de óleo de alga Schizochytrium sp.,,"FCC 

 USP-NF",Fonte de DHA,"1) Alegação: Fonte de Omega 3. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de EPA e DHA atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Os ácidos graxos ômega 3 EPA e DHA auxiliam na redução dos triglicerídeos. Requisitos: A alegação é restrita aos suplementos alimentares que forneçam no mínimo 1.500 mg de EPA e DHA somados na recomendação diária de consumo. Não é permitida a alegação caso o suplemento alimentar possua associação de ingredientes fontes de fitoesterois com ingredientes fontes de ácidos graxos ômega 3.",Não há requisitos adicionais,
Ácido docosahexaenóico (DHA) obtido de óleo de alga Ulkenia sp.,,"FCC 

 USP-NF",Fonte de DHA,"1) Alegação: Fonte de Omega 3. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de EPA e DHA atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Os ácidos graxos ômega 3 EPA e DHA auxiliam na redução dos triglicerídeos. Requisitos: A alegação é restrita aos suplementos alimentares que forneçam no mínimo 1.500 mg de EPA e DHA somados na recomendação diária de consumo. Não é permitida a alegação caso o suplemento alimentar possua associação de ingredientes fontes de fitoesterois com ingredientes fontes de ácidos graxos ômega 3.",Não há requisitos adicionais,
Ácido docosahexaenóico (DHA) obtido de óleo de atum (Scombridae Thunnus),,Para este constituinte foram aprovadas as especificações dos fabricantes: Nu-Mega Ingredients Pty Ltd - Melbourne - Victoria - Austrália; BASF S/A – Ballerup – Dinamarca; BASF S/A – Brattvag – Noruega; FrieslanCampina – Kievit B.V. – Meppel – Holanda; BASF PersonalCareNutrition – Illertissen – Alemanha; BASF PersonalCareNutrition – Brattvag – Noruega; Polaris – Pleuven – França; Pronova Biopharma Norge AS – Sandefjord – Noruega.,Fonte de DHA,"1) Alegação: Fonte de Omega 3. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de EPA e DHA atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Os ácidos graxos ômega 3 EPA e DHA auxiliam na redução dos triglicerídeos. Requisitos: A alegação é restrita aos suplementos alimentares que forneçam no mínimo 1.500 mg de EPA e DHA somados na recomendação diária de consumo. Não é permitida a alegação caso o suplemento alimentar possua associação de ingredientes fontes de fitoesterois com ingredientes fontes de ácidos graxos ômega 3.",Não há requisitos adicionais,
